#t,u,v,theta0_vect,theta1_vect,th1_obs
0.0,0.0,0.0,-80.0,-1.0,0.0
0.00666666666667,0.0,0.0,-80.0,-1.0,-0.502870843144
0.0133333333333,0.0,0.0,-80.0,-1.0,-0.847136277215
0.02,0.0,0.0,-80.0,-1.0,-1.05877861793
0.0266666666667,0.0,0.0,-80.0,-1.0,-1.16823338725
0.0333333333333,0.0,0.0,-80.0,-1.0,-1.20507165437
0.04,0.0,0.0,-80.0,-1.0,-1.19497408384
0.0466666666667,0.0,0.0,-80.0,-1.0,-1.1583977846
0.0533333333333,0.0,0.0,-80.0,-1.0,-1.11039039482
0.06,0.0,0.0,-80.0,-1.0,-1.06109958555
0.0666666666667,0.0,0.0,-80.0,-1.0,-1.01663293659
0.0733333333333,0.0,0.0,-80.0,-1.0,-0.980025347168
0.08,0.0,0.0,-80.0,-1.0,-0.952158981611
0.0866666666667,0.0,0.0,-80.0,-1.0,-0.932550096802
0.0933333333333,0.0,0.0,-80.0,-1.0,-0.919967644813
0.1,0.0,0.0,-80.0,-1.0,-0.912882263339
0.106666666667,0.0,0.0,-80.0,-1.0,-0.909764239356
0.113333333333,0.0,0.0,-80.0,-1.0,-0.909258642418
0.12,0.0,0.0,-80.0,-1.0,-0.910268246447
0.126666666667,0.0,0.0,-80.0,-1.0,-0.911972780151
0.133333333333,0.0,0.0,-80.0,-1.0,-0.913808560127
0.14,0.0,0.0,-80.0,-1.0,-0.915427173161
0.146666666667,0.0,0.0,-80.0,-1.0,-0.916646573211
0.153333333333,0.0,0.0,-80.0,-1.0,-0.9174033147
0.16,0.0,0.0,-80.0,-1.0,-0.917710917265
0.166666666667,0.0,0.0,-80.0,-1.0,-0.917626595922
0.173333333333,0.0,0.0,-80.0,-1.0,-0.917226712552
0.18,0.0,0.0,-80.0,-1.0,-0.916590160256
0.186666666667,0.0,0.0,-80.0,-1.0,-0.915788309879
0.193333333333,0.0,0.0,-80.0,-1.0,-0.914879962636
0.2,0.0,0.0,-80.0,-1.0,-0.913909821813
0.206666666667,0.0,0.0,-80.0,-1.0,-0.912909207217
0.213333333333,0.0,0.0,-80.0,-1.0,-0.911898005803
0.22,0.0,0.0,-80.0,-1.0,-0.910887125613
0.226666666667,0.0,0.0,-80.0,-1.0,-0.909880964783
0.233333333333,0.0,0.0,-80.0,-1.0,-0.908879606986
0.24,0.0,0.0,-80.0,-1.0,-0.907880605004
0.246666666667,0.0,0.0,-80.0,-1.0,-0.906880318259
0.253333333333,0.0,0.0,-80.0,-1.0,-0.905874835244
0.26,0.0,0.0,-80.0,-1.0,-0.904860546513
0.266666666667,0.0,0.0,-80.0,-1.0,-0.903834446794
0.273333333333,0.0,0.0,-80.0,-1.0,-0.902794243366
0.28,0.0,0.0,-80.0,-1.0,-0.90173833819
0.286666666667,0.0,0.0,-80.0,-1.0,-0.900665737907
0.293333333333,0.0,0.0,-80.0,-1.0,-0.899575931731
0.3,0.0,0.0,-80.0,-1.0,-0.898468764456
0.306666666667,0.0,0.0,-80.0,-1.0,-0.897344321107
0.313333333333,0.0,0.0,-80.0,-1.0,-0.896202831633
0.32,0.0,0.0,-80.0,-1.0,-0.895044598278
0.326666666667,0.0,0.0,-80.0,-1.0,-0.893869944585
0.333333333333,0.0,0.0,-80.0,-1.0,-0.892679182945
0.34,0.0,0.0,-80.0,-1.0,-0.89147259676
0.346666666667,0.0,0.0,-80.0,-1.0,-0.890250433225
0.353333333333,0.0,0.0,-80.0,-1.0,-0.889012903185
0.36,0.0,0.0,-80.0,-1.0,-0.887760185161
0.366666666667,0.0,0.0,-80.0,-1.0,-0.886492431369
0.373333333333,0.0,0.0,-80.0,-1.0,-0.885209774211
0.38,0.0,0.0,-80.0,-1.0,-0.883912332319
0.386666666667,0.0,0.0,-80.0,-1.0,-0.882600215628
0.393333333333,0.0,0.0,-80.0,-1.0,-0.881273529308
0.4,0.0,0.0,-80.0,-1.0,-0.879932376576
0.406666666667,0.0,0.0,-80.0,-1.0,-0.878576860515
0.413333333333,0.0,0.0,-80.0,-1.0,-0.877207085126
0.42,0.0,0.0,-80.0,-1.0,-0.875823155782
0.426666666667,0.0,0.0,-80.0,-1.0,-0.8744251793
0.433333333333,0.0,0.0,-80.0,-1.0,-0.873013263766
0.44,0.0,0.0,-80.0,-1.0,-0.871587518244
0.446666666667,0.0,0.0,-80.0,-1.0,-0.870148052446
0.453333333333,0.0,0.0,-80.0,-1.0,-0.868694976418
0.46,0.0,0.0,-80.0,-1.0,-0.867228400268
0.466666666667,0.0,0.0,-80.0,-1.0,-0.865748433958
0.473333333333,0.0,0.0,-80.0,-1.0,-0.864255187149
